,dataset,Average_Iteration,std
7,00001,10000.0,0.0
25,00002,367.3,96.81458132892347
6,00004,123.2,12.898796353475044
8,00006,666.7,45.536682725954144
24,00007,14.15,0.36634754853252327
3,00008,7691.55,70.75567672967085
9,00009,9.3,0.47016234598162726
16,00012,11.15,0.8750939799154207
14,00014,30.65,0.48936048492959294
19,00018,3656.3,152.6778858974189
21,00024,30.8,0.8335087534664907
10,00025,2356.4,91.0606506964625
2,00028,10.0,0.0
13,00030,14.1,0.8522416262267903
5,00032,62.2,5.454114815536306
4,00034,293.05,59.96268576548691
17,00035,8.0,0.0
23,00038,18.85,1.6944180805158293
15,00042,8681.8,2817.5341888366074
12,00045,66.7,1.3803127029389886
22,00052,164.05,18.08015777760686
11,00053,43.7,0.4701623459816272
18,00100,40.3,1.490319640741189
0,00102,21.9,1.3337718577107003
20,00103,20.15,1.3088765773505318
1,00104,41.4,2.3929721664644754
