dataset,ho_bt_likelihood,hol_likelihood,std_bt_likelihood,repetition
fifa,1.4636268701436694,,1.4951761339015963,0
fifa,1.455536710955508,,1.4367282482382717,1
fifa,1.5096569290885848,,1.5392648788221437,2
fifa,1.327484494544136,,1.3753598967883691,3
fifa,1.458244581380315,,1.5267030703948656,4
fifa,1.4594438869370934,,1.48396782285852,5
fifa,1.423340615109974,,1.439442133282219,6
fifa,1.2880853618497115,,1.3135079608637588,7
fifa,1.3694348889024666,,1.34968089184202,8
fifa,1.3621822794475587,,1.3893487033142746,9
fifa,1.4262375372103857,,1.429152069228078,10
fifa,1.5319667350481971,,1.5448233214623486,11
fifa,1.436764603361631,,1.4518413515877304,12
fifa,1.3431475311716385,,1.3840766650252763,13
fifa,1.5032866211192148,,1.5451440025288514,14
fifa,1.4623056360650162,,1.4776489312271415,15
fifa,1.442100735097601,,1.4709737612273597,16
fifa,1.3147841148244799,,1.3328190904428574,17
fifa,1.3385749567787304,,1.3387269721586148,18
fifa,1.4933676138821765,,1.486410833979546,19
fifa,1.280047421309032,,1.2886962610056676,20
fifa,1.263865236328887,,1.242079642299383,21
fifa,1.46335654099238,,1.5014594389319704,22
fifa,1.3199260586650519,,1.2857417656305914,23
fifa,1.419275342880776,,1.4352759329855815,24
fifa,1.3694716167016463,,1.364829443079872,25
fifa,1.4376054008049906,,1.4318714347295598,26
fifa,1.271986438484297,,1.2723784291005225,27
fifa,1.500833254656583,,1.4806032308884955,28
fifa,1.3551220234517865,,1.3536603873236468,29
fifa,1.4528308343420906,,1.5120944812778243,30
fifa,1.4582604973050908,,1.4800095310821064,31
fifa,1.2731800422239394,,1.2664506497547579,32
fifa,1.3325426256651214,,1.3461278912735835,33
fifa,1.4181475451296983,,1.4471528367325899,34
fifa,1.4376977168301999,,1.4226142520561997,35
fifa,1.480103251172202,,1.5173829646369512,36
fifa,1.4064309845574448,,1.4152532394071409,37
fifa,1.373958318021835,,1.417930519384139,38
fifa,1.296777279096309,,1.325072822715918,39
fifa,1.5315467574787944,,1.587242552921426,40
fifa,1.3150197095146736,,1.3046635705568956,41
fifa,1.2598076985559679,,1.2530955913626203,42
fifa,1.3728403555259676,,1.3741566601964201,43
fifa,1.227656317838477,,1.2319715575310297,44
fifa,1.5544591318338135,,1.5352243854467156,45
fifa,1.3144639817526587,,1.2888220816845548,46
fifa,1.446960534314013,,1.4551532790517103,47
fifa,1.3849351052494936,,1.439102559776246,48
fifa,1.5650536995262259,,1.6061761372040992,49
authors,1.7702712085119536,,1.920415432882209,0
authors,1.8248234071510017,,2.0956791299938202,1
authors,1.3767938970083544,,1.4362445334215175,2
authors,1.5551217124998735,,1.6126636214260441,3
authors,1.698122130100747,,1.9144516495226847,4
authors,1.300495986734033,,1.3023877270255146,5
authors,1.666195024939876,,1.6757458676580819,6
authors,1.777897920663904,,1.7861381750228418,7
authors,1.684120697701384,,1.9080452598368207,8
authors,1.729898517252753,,1.8720328074604602,9
authors,1.369389022396387,,1.4543587382935481,10
authors,1.3791837354604675,,1.434723214757643,11
authors,1.79860962071744,,1.9075595243481045,12
authors,1.5118839113727958,,1.560952622886311,13
authors,1.4754154768335987,,1.5259021804033601,14
authors,1.579486078142383,,1.8262326908206534,15
authors,1.4869961328443295,,1.628317032373679,16
authors,1.4124051503675215,,1.4747374826815418,17
authors,1.6566074420700665,,1.758584068832753,18
authors,1.2264907448552442,,1.2503198227595615,19
authors,1.399174996509088,,1.465733261315749,20
authors,1.3488927577916008,,1.4074852731960648,21
authors,1.6457618071475673,,1.7481504830287073,22
authors,1.4417144709740652,,1.4484026989536651,23
authors,1.390666019557394,,1.4348467140999084,24
authors,1.6060645880032065,,1.6906965607001418,25
authors,1.8769350413948793,,1.9168291873289995,26
authors,1.3318676284276814,,1.39364163951991,27
authors,1.4063512106480118,,1.4451112852579457,28
authors,1.3676696243257145,,1.4103396910501256,29
authors,1.5571392494810503,,1.5607753695969706,30
authors,1.7950612179890122,,1.8500377380528035,31
authors,1.457723525986935,,1.5183178860766324,32
authors,1.5973036013360924,,1.7142766261088733,33
authors,1.5085637488712458,,1.5800553656027,34
authors,1.4731837170953745,,1.418820048975139,35
authors,1.3744910080688693,,1.4666355987234647,36
authors,1.6534290813214665,,1.6431878286909731,37
authors,1.302983665222648,,1.3038766985645889,38
authors,1.8035432254975057,,1.833969814136406,39
authors,1.595600495741014,,1.711671135141175,40
authors,1.4213333475875356,,1.4485489360347097,41
authors,1.2655596033976517,,1.3148482745974028,42
authors,1.3610165239494982,,1.3749055596889364,43
authors,1.8716764755696125,,2.090050225509019,44
authors,1.4810307393491102,,1.5417799504376102,45
authors,1.6280476488076865,,1.7152747090992624,46
authors,1.61547764298658,,1.7247169171823309,47
authors,1.510775775990965,,1.5949752879581391,48
authors,1.468395793903084,,1.4548325933147075,49
ucl,1.7557459128368353,,1.818652887494306,0
ucl,1.8665431320786812,,1.9104359714994308,1
ucl,1.7828740476620315,,1.8059364746612097,2
ucl,1.856153127380875,,1.8986150512757294,3
ucl,1.5488143274196573,,1.5802276421355828,4
ucl,1.6426134196591766,,1.6704637405900506,5
ucl,1.4912032120445087,,1.5381602605984017,6
ucl,1.620807882905623,,1.673117162726813,7
ucl,1.689312069496589,,1.719569871686881,8
ucl,1.7500727395765903,,1.8183111067144169,9
ucl,1.637786792184096,,1.6744630266786271,10
ucl,1.6500755382022294,,1.6910023746383767,11
ucl,1.698573065388825,,1.7254098185082345,12
ucl,1.6500303670426069,,1.6489887367963865,13
ucl,1.8173287894324388,,1.8457608478305778,14
ucl,1.5858994848698345,,1.6136701094941182,15
ucl,1.7778187757000188,,1.825675556645857,16
ucl,1.5345199381462167,,1.572475467345955,17
ucl,1.6871743096585088,,1.7575321033776008,18
ucl,1.7272140169246917,,1.761107193156657,19
ucl,1.77084954588123,,1.8322783460099803,20
ucl,1.653727067550188,,1.69834014933919,21
ucl,1.625886720052528,,1.6825328130626418,22
ucl,1.768306812945195,,1.8157914406061881,23
ucl,1.723862626932833,,1.734753813581415,24
ucl,1.5835396175679621,,1.5871191194473204,25
ucl,1.657170636921845,,1.6742566337782219,26
ucl,1.5223703893047535,,1.595090982265175,27
ucl,1.5812657926896547,,1.6242170383652914,28
ucl,1.7449519999345893,,1.7775783056282248,29
ucl,1.686346620427926,,1.7235997432607937,30
ucl,1.8478528241838452,,1.9129616958894953,31
ucl,1.572871653556288,,1.6015310834217205,32
ucl,1.7340567133134333,,1.7728721768493478,33
ucl,1.7103173820127786,,1.7456957786835288,34
ucl,1.7865173065917537,,1.8313544947525116,35
ucl,1.852198139495448,,1.8947249523149359,36
ucl,1.6426683337926484,,1.6872184271809678,37
ucl,1.6834494466422738,,1.704566664858098,38
ucl,1.7845997677975245,,1.8272266200161376,39
ucl,1.8853933316803568,,1.9642478646311343,40
ucl,1.7244074167334633,,1.774407544300182,41
ucl,1.923828818660895,,1.9670419248611306,42
ucl,1.7773720407592035,,1.835189745655785,43
ucl,1.8341230306554885,,1.9218132636472594,44
ucl,1.7466751759475374,,1.786597343469867,45
ucl,1.8277203426808695,,1.8641611784252625,46
ucl,1.7898804130340091,,1.8533244724377373,47
ucl,1.7981540279057466,,1.8804849551482412,48
ucl,1.8610634522047025,,1.9128937765524092,49
